District,Service_Name,Department,Users_Reported,Satisfaction_Score_(%),Year,Month
Musanze,eTax Portal,Ministry of Health,910,75.45,2022,Unknown
Gasabo,Land Registration Portal,Immigration Department,3822,93.6,2023,December
Rusizi,eTax Portal,Rwanda Revenue Authority,516,82.9,2024,March
Nyagatare,E-Visa Service,Ministry of ICT,4476,75.45,2024,June
Nyagatare,Digital Health Records,Rwanda Revenue Authority,2447,75.45,2023,May
Rubavu,E-Visa Service,Rwanda Revenue Authority,2447,75.45,2022,June
Musanze,eTax Portal,Rwanda Revenue Authority,2447,98.7,2021,August
Burera,Digital Health Records,National Land Authority,2447,54.1,2023,December
Nyarugenge,eTax Portal,Ministry of ICT,2447,84,2021,April
Nyamagabe,Online Business Registration,Ministry of Health,2447,70.9,2021,September
Kicukiro,Digital Health Records,Immigration Department,2447,75.45,2023,August
Gasabo,Digital Health Records,Immigration Department,4893,58.7,2024,June
Nyarugenge,Irembo Services,Ministry of Health,524,86.4,2021,August
Huye,Online Business Registration,National Land Authority,2447,92.3,2021,February
Nyagatare,Digital Health Records,Immigration Department,2447,75.45,2022,August
Nyanza,Land Registration Portal,Rwanda Revenue Authority,2447,75.45,2024,December
Gasabo,eTax Portal,Immigration Department,2447,52,2021,December
Burera,Land Registration Portal,Ministry of ICT,2447,75.7,2022,August
Huye,eTax Portal,Ministry of ICT,2447,71.9,2024,June
Burera,E-Visa Service,Ministry of Health,2447,75.45,2023,February
Nyamagabe,eTax Portal,National Land Authority,1578,75.45,2023,May
Nyagatare,Irembo Services,National Land Authority,3606,89.6,2022,January
Rulindo,E-Visa Service,Immigration Department,696,63.8,2023,January
Rusizi,Digital Health Records,National Land Authority,2938,64.2,2021,December
Gasabo,eTax Portal,National Land Authority,2485,60.5,2024,February
Rwamagana,Irembo Services,Immigration Department,2447,73.3,2021,January
Nyamagabe,Land Registration Portal,Ministry of ICT,2447,86.7,2021,Unknown
Karongi,E-Visa Service,Rwanda Revenue Authority,2447,75.45,2023,June
Rusizi,E-Visa Service,Ministry of Health,2447,95.5,2021,November
Rubavu,Irembo Services,Ministry of ICT,2447,75.45,2023,February
Huye,Land Registration Portal,National Land Authority,2447,98.6,2024,November
Karongi,E-Visa Service,National Land Authority,2447,75.45,2024,June
Musanze,Digital Health Records,Immigration Department,4064,75.45,2021,March
Nyarugenge,eTax Portal,Ministry of Health,2447,54.9,2022,December
Gakenke,Online Business Registration,Rwanda Revenue Authority,2447,75.45,2023,April
Musanze,Land Registration Portal,Immigration Department,2447,75.45,2023,September
Bugesera,eTax Portal,Immigration Department,2447,75.45,2021,March
Bugesera,Online Business Registration,Rwanda Revenue Authority,2447,82.6,2023,September
Rusizi,E-Visa Service,Rwanda Revenue Authority,1550,75.45,2023,March
Kicukiro,Online Business Registration,National Land Authority,2447,92.9,2022,June
Rulindo,Land Registration Portal,Immigration Department,2447,75.45,2022,September
Burera,eTax Portal,Ministry of ICT,4961,75.45,2021,July
Musanze,E-Visa Service,Ministry of ICT,2447,98.5,2022,August
Gakenke,E-Visa Service,Immigration Department,2447,75.45,2021,April
Nyarugenge,E-Visa Service,Rwanda Revenue Authority,2447,75.45,2024,July
Burera,E-Visa Service,Ministry of Health,387,66.5,2021,July
Ngoma,Online Business Registration,Rwanda Revenue Authority,2447,75.45,2024,November
Bugesera,E-Visa Service,Rwanda Revenue Authority,4043,57.3,2021,March
Huye,Irembo Services,Ministry of Health,2447,62.4,2023,March
Nyarugenge,E-Visa Service,Rwanda Revenue Authority,429,97.4,2022,November
Kicukiro,E-Visa Service,Ministry of Health,2112,75.45,2024,November
Nyagatare,Irembo Services,Immigration Department,114,69,2021,July
Ngoma,eTax Portal,Ministry of Health,2447,86.8,2022,July
Nyarugenge,Digital Health Records,Ministry of ICT,2447,76.7,2021,January
Nyagatare,Irembo Services,Ministry of Health,1545,75.45,2022,December
Musanze,Land Registration Portal,Rwanda Revenue Authority,441,72.3,2022,October
Gakenke,eTax Portal,Immigration Department,4564,75.45,2021,April
Rusizi,E-Visa Service,Ministry of Health,4524,75.45,2024,August
Rulindo,Online Business Registration,Rwanda Revenue Authority,3611,75.45,2024,October
Bugesera,Irembo Services,Ministry of Health,3149,56.1,2023,July
Rwamagana,eTax Portal,Immigration Department,2447,96.8,2022,July
Bugesera,eTax Portal,Immigration Department,2447,82,2023,January
Bugesera,E-Visa Service,Ministry of ICT,2447,72.6,2023,December
Huye,Digital Health Records,Immigration Department,4648,54.4,2021,April
Rusizi,Online Business Registration,Rwanda Revenue Authority,2447,75.45,2021,April
Nyarugenge,Online Business Registration,Immigration Department,854,75.45,2021,May
Rwamagana,Online Business Registration,Immigration Department,2447,75.45,2022,February
Burera,Land Registration Portal,Rwanda Revenue Authority,2823,75.45,2021,December
Nyagatare,eTax Portal,Rwanda Revenue Authority,1620,75.45,2021,June
Rwamagana,Land Registration Portal,Immigration Department,2740,98.7,2022,February
Rulindo,Land Registration Portal,Immigration Department,2447,72.7,2022,February
Gakenke,eTax Portal,Ministry of Health,552,76.1,2024,October
Rusizi,Online Business Registration,Immigration Department,4543,75.45,2021,February
Burera,eTax Portal,Ministry of ICT,4538,75.45,2021,December
Nyagatare,Digital Health Records,Ministry of ICT,1534,75.45,2021,Unknown
Karongi,eTax Portal,Ministry of ICT,913,75.45,2024,September
Kicukiro,E-Visa Service,Ministry of ICT,613,75.45,2021,March
Nyagatare,eTax Portal,Immigration Department,2447,59.4,2024,June
Kicukiro,Irembo Services,Ministry of Health,1807,75.45,2023,June
Karongi,Digital Health Records,Rwanda Revenue Authority,1728,61.7,2024,April
Gakenke,Irembo Services,Immigration Department,2447,75.45,2023,August
